country_code,total_startups,successful,success_rate,avg_funding,total_funding,success_rate_pct
ARE,66,63,0.9545454545454546,3128290.609848485,206467180.25,95.45
ARG,149,141,0.9463087248322147,1380127.726510067,205639031.25,94.63
AUS,314,300,0.9554140127388535,3746072.242834395,1176266684.25,95.54
AUT,103,94,0.912621359223301,3173149.5388349514,326834402.5,91.26
BEL,149,141,0.9463087248322147,4147795.0805369127,618021467.0,94.63
BGR,68,68,1.0,756729.1875,51457584.75,100.0
BRA,293,279,0.9522184300341296,2706830.93003413,793101462.5,95.22
CAN,1405,1339,0.9530249110320285,4606531.037544484,6472176107.75,95.3
CHE,222,214,0.963963963963964,5529070.67454955,1227453689.75,96.4
CHL,285,281,0.9859649122807017,179838.2657894737,51253905.75,98.6
CHN,1239,1203,0.9709443099273608,8238326.432808717,10207286450.25,97.09
COL,35,35,1.0,1145385.592857143,40088495.75,100.0
CZE,51,50,0.9803921568627451,2560644.9607843137,130592893.0,98.04
DEU,968,923,0.9535123966942148,4176010.444214876,4042378110.0,95.35
DNK,210,200,0.9523809523809523,3507815.85,736641328.5,95.24
ESP,549,515,0.9380692167577414,2499744.0573770492,1372359487.5,93.81
EST,44,39,0.8863636363636364,1815577.8125,79885423.75,88.64
FIN,194,186,0.9587628865979382,3620942.6018041237,702462864.75,95.88
FRA,866,819,0.9457274826789839,4242339.394341801,3673865915.5,94.57
GBR,2642,2486,0.9409538228614686,4381943.520249811,11577094780.5,94.1
GRC,31,30,0.967741935483871,866993.4838709678,26876798.0,96.77
HKG,126,117,0.9285714285714286,3286352.511904762,414080416.5,92.86
HUN,42,40,0.9523809523809523,1378827.4166666667,57910751.5,95.24
IDN,52,48,0.9230769230769231,3460686.269230769,179955686.0,92.31
IND,849,816,0.9611307420494699,5090780.781213192,4322072883.25,96.11
IRL,306,289,0.9444444444444444,3410597.3333333335,1043642784.0,94.44
ISR,682,635,0.9310850439882697,5781111.442815249,3942718004.0,93.11
ITA,308,296,0.961038961038961,1886860.6891233767,581153092.25,96.1
JPN,284,278,0.9788732394366197,3957700.7764084507,1123987020.5,97.89
KOR,246,244,0.991869918699187,2287402.2449186994,562700952.25,99.19
LTU,31,31,1.0,2276758.0887096776,70579500.75,100.0
MEX,83,79,0.9518072289156626,1486940.7439759036,123416081.75,95.18
MYS,48,42,0.875,3365262.1354166665,161532582.5,87.5
NLD,307,294,0.9576547231270358,3911722.1123778503,1200898688.5,95.77
NOR,98,92,0.9387755102040817,4187684.5943877553,410393090.25,93.88
NZL,62,56,0.9032258064516129,3442624.6169354836,213442726.25,90.32
PER,30,28,0.9333333333333333,819853.225,24595596.75,93.33
PHL,32,31,0.96875,2518546.5,80593488.0,96.88
POL,94,91,0.9680851063829787,1486572.3723404256,139737803.0,96.81
PRT,69,68,0.9855072463768116,2011275.3405797102,138777998.5,98.55
RUS,368,350,0.9510869565217391,3208312.7092391304,1180659077.0,95.11
SGP,299,282,0.9431438127090301,3196386.70819398,955719625.75,94.31
SWE,315,297,0.9428571428571428,4415416.178571428,1390856096.25,94.29
THA,38,37,0.9736842105263158,2274471.8947368423,86429932.0,97.37
TUR,124,122,0.9838709677419355,2788772.4254032257,345807780.75,98.39
TWN,41,40,0.975609756097561,5985252.445121951,245395350.25,97.56
UKR,45,45,1.0,977636.5666666667,43993645.5,100.0
USA,28791,27328,0.9491855093605641,5568248.0464815395,160315429506.25,94.92
Unknown,5273,4865,0.9226246918262848,2552400.260572729,13458806574.0,92.26
ZAF,52,48,0.9230769230769231,4237917.802884615,220371725.75,92.31
